,comment
90,والله العظيم ماكتبت هاذا المناشده الا من الجوع والفقر ياعالم حسو فينا سِالُتكِ بّالُلُُه انَ تْنَقًذَنَا قًبّلُ انَ نَمٌوَتْ مٌنَ شِدِتْ الُجْوَع انَتٌْخيَكِ انَيَ دٌِخلُةِ ْعلُى الُلُُه تْمٌ ْعلُيَكِ انَيَ فَيَ وَجُْهك انَـيَ اخـتْكِ انَـيَ اتْرَجْـاكِ اتْـوَسِـلُ الُـيَـكِ انَـقًـذَنَا لُـوَجُْـه الُـلُُـه. يَــشِــُهدِ الُــلُــُه يَاٌخـيَ انَ مٌنَ الُــصّــبّاحُ حُـتْا الُـانَ يَــحُــرَمٌ ْعـــلُيَـنَـا الاكل غير الماء ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''' اخي اول كلامي انا اقسم بالله على كتاب الله اني لااكذب عليك ولا انصب ولا احتال اني بنت يمنيه من اليمن نازحين من انا واسرتي بيننا ایت الشهرب 20 الف يمني والان علينا 60 الف حق 3 شهور وصاحب البيت من الناس الي ماترحم والله يا اخي انه يجي كل يوم يبهدلنا ويتكلم علينا ويريد من البيت للشارع لانناماقدرنا ندفعله الأجار شافونا الجيران نبكي ورجعو تكلمو الجيران ومهلنالاخره الأسبوع معادفعنا له حلف يمين بالله هذا بيخرجنا إلى الشارع رحمه واحنا. بلادنا بسبب هذا الحرب ولانجد قوت يومنا وعايشين اناوامي واخوتي سفار والدنا متوفي الله يرحمه ومامعنا أحد في هذا الدنيا جاانبنا في هذه الظروف القاسيه اخوتي الصغار خرجو للشارع وشافو الجيران ياكلو واوقفو عند بابهم لجل يعطوهم ولو كسره خبز والله الذي له ملك السموات والارض انهم غلفو الباب وطردوهم ورجعو یبکو ایموتو من الجوع ما احد رحمهم وعطلة ردها لقمت عیش والان لوما احدنا ساعدنا في إيكيلو دقيق اقسم بالله انموت من الجوع فيا اخي انا دخيله على الله ثم عليك واريد منك المساعده لوجه الله انشدك بالله تحب الخير واتساعدني ولو ب 500 ريال يمني مع تراسلي واتساب على هذا الرقم 00967711528949 وتطلب اسم بطاقتي وترسلي ولاتتاخر وايعوضك الله بكل خير اخواني سغار شوف كيف حالتهم وساعدنا وأنقذنا قبل أن يطردونا في الشارع تتبهدل أو نموت من الجوع وانا واسرتي نسالك بالله لولك مقدره على مساعد لاتتاخر علينا وجزاك الله خيرا./÷~÷~÷~π÷~÷~÷~π~÷~^¢°√°
91,THE WHOLE OF THE BBC NEWS PRODUCTION TEAM MUST RESIGN AFTER RECEIVING CASH FROM CORRUPT USAID.
92,He’s a flip flopper
93,Love it.go trump
94,"To address Chinese 🇨🇳 unfair trade practices, President Trump is mandated to impose 60% tariffs on all Chinese products.
Additionally, China needs to change its behavior to remove the following tariffs:
- 10% on Fentanyl trafficking,
- 10% on human rights violations,
- 10% on Taiwan Strait and South China Sea aggression."
95,really mister crook the trump no with canada you don't screw canada cause goes dollar per dollar so you're alone
96,Donald Tariffs
97,Oh don't give him what  wish to hear he's God when is a friend's appreciate I'm talking about the millionaire of America the same as Russia the power they really have
98,BBC LEFTARDS NOT PRESENTING ACTUAL NEUTRAL NEWS...
99,
100,he is my favorite male host
101,"«Для нас помощь Украине не означает благотворительность, мы таким образом инвестируем в собственную безопасность», — отметила политик.
p.s.
похоже Бербок может выдохнуть - у нее появился многообещающий и перспективный конкурент который выведет международные связи и политику ЕС ""на принципиально новый уровень""! ну то есть экспедиция начатая Боррелем к недрам Земли, продолжится с утроенной силой и усердием ... вам враги не нужны ребят, вам воина не нужна - вы сами как воина голод и чума в одном конном строю!"
102,President Trump is working hard for the American people. So much positivity in the USA happening. Go Trump 🇺🇸
103,Трамп за кораблём#.
104,"More Labour scandals... crickets from the BBC. Get the American public to fund you if you want to keep going on and on and on and on about Trump, it's really boring now."
105,Liberals tears 
106,THE WHOLE OF THE BBC NEWS PRODUCTION TEAM MUST RESIGN AFTER RECEIVING CASH FROM CORRUPT USAID
107,
108,Trump is great 
109,Dats my president 
110, Trump
111,".
Grow up."
